key,translation,locale
shipment.dhl.paket.name,Package,en_US
shipment.dhl.paket.description,"DHL Paket is the easy, affordable, fast and reliable shipping service to over 220 countries around the world.",de_DE
shipment.dhl.paket.description,"DHL Paket is the easy, affordable, fast and reliable shipping service to over 220 countries around the world.",en_US
shipment.dhl.express.name,Express,de_DE
shipment.dhl.express.name,Express,en_US
shipment.dhl.express.description,"Our force of 100,000 engaged employees is working worldwide. Local know-how and our unique network make us your International Specialists.",de_DE
shipment.dhl.express.description,"Our force of 100,000 engaged employees is working worldwide. Local know-how and our unique network make us your International Specialists.",en_US
shipment.dpd,DPD,de_DE
shipment.dpd,DPD,en_US
shipment.hermes,Hermes,de_DE
shipment.hermes,Hermes,en_US
customer.first_name,Vorname,de_DE
customer.first_name,First Name,en_US
customer.last_name,Nachname,de_DE
customer.last_name,Last Name,en_US
customer.salutation.mr,Herr,de_DE
customer.salutation.mr,Mr.,en_US
customer.salutation.mrs,Frau,de_DE
customer.salutation.mrs,Mrs.,en_US
customer.salutation.ms,Frau,de_DE
customer.salutation.ms,Ms.,en_US
customer.salutation.dr,Dr.,en_US
customer.salutation.dr,Dr.,de_DE
customer.salutation.invalid,Salutation is invalid,en_US
customer.salutation.invalid,Anrede ist ungültig,de_DE
customer.billing_address.salutation.invalid,Salutation is invalid,en_US
customer.billing_address.salutation.invalid,Anrede ist ungültig,de_DE
customer.shipping_address.salutation.invalid,Salutation is invalid,en_US
customer.shipping_address.salutation.invalid,Anrede ist ungültig,de_DE
customer.birth_date,Geburtsdatum (TT.MM.YYYY),de_DE
customer.birth_date,Date of birth (DD.MM.YYYY),en_US
customer.email,E-Mail Adresse,de_DE
customer.email,E-Mail,en_US
customer.phone,Telefonnummer,de_DE
customer.phone,Telephone number,en_US
customer.reset.password.error.already.loggedIn,"Kunde bereits eingeloggt. Bitte logge dich aus, um dein Kundenpasswort zurückzusetzen.",de_DE
customer.reset.password.error.already.loggedIn,Another customer already logged in. Please logout to reset your password.,en_US
payment.prepay,Vorkasse,de_DE
payment.prepay,Prepayment,en_US
payment.paypal,PayPal,de_DE
payment.paypal,PayPal,en_US
payment.creditcard,Kreditkarte,de_DE
payment.creditcard,Credit card,en_US
payment.invoice,Rechnung,de_DE
payment.invoice,Invoice,en_US
payment_foreign.thank_you,Danke,de_DE
payment_foreign.thank_you,Thank you,en_US
payment_foreign.go_to_my_account,Gehe zum "Benutzerkonto",de_DE
payment_foreign.go_to_my_account,Go to "My Account",en_US
payment_foreign.success.order.placement.message,Deine Bestellung ist erfolgreich bei uns eingegangen. Die Bestellbestätigung wurde soeben per E-Mail versendet. In deinem Benutzerkonto kannst deine Bestellung überprüfen und nachverfolgen.,de_DE
payment_foreign.success.order.placement.message,Your order has been paid successfully. You will receive your order confirmation email in a few minutes. You can check and track your order in your account.,en_US
address.street,Straße,de_DE
address.street,Street,en_US
address.street_nr,Nummer,de_DE
address.street_nr,Number,en_US
address.city,Stadt,de_DE
address.city,City,en_US
address.zip_code,PLZ,de_DE
address.zip_code,Zip Code,en_US
page.checkout.create_account,Kundenaccout erstellen,de_DE
page.checkout.create_account,Create customer account,en_US
whishlist.whishlist,Wunschliste,de_DE
whishlist.whishlist,Whishlist,en_US
whishlist.remove,Löschen,de_DE
whishlist.remove,Remove,en_US
whishlist.reduce,Reduzieren,de_DE
whishlist.reduce,Reduce,en_US
whishlist.increase,Erhöhen,de_DE
whishlist.increase,Increase,en_US
whishlist.move.to.cart,Zum Warenkorb hinzufügen,de_DE
whishlist.move.to.cart,Move to cart,en_US
checkout.thank.you,Vielen Dank,de_DE
checkout.thank.you,Thank you,en_US
checkout.this.is.demoshop,Das ist ein Demoshop,de_DE
checkout.this.is.demoshop,This is a demoshop,en_US
checkout.nothing.will.be.sent,Selbstverständlich wird Ihnen nichts zugesendet!,de_DE
checkout.nothing.will.be.sent,"Therefore, of course, nothing will be sent!",en_US
global.order.ascendent,A-Z,de_DE
global.order.ascendent,A-Z,en_US
global.order.descendent,Z_A,de_DE
global.order.descendent,Z-A,en_US
global.close,Schließen,de_DE
global.close,Close,en_US
global.show,Show All,en_US
global.show,Show All,de_DE
global.hide,Hide,en_US
global.hide,Ausblenden,de_DE
global.search,Suche,de_DE
global.search,Search,en_US
global.search.results,Suchergebnisse,de_DE
global.search.results,Search Results,en_US
global.search.spellingSuggestion,Meintest du,de_DE
global.search.spellingSuggestion,Did you mean,en_US
global.search.suggestions,Suchvorschläge,de_DE
global.search.suggestions,Search suggestions,en_US
global.search.suggestion.in_products,Produkte,de_DE
global.search.suggestion.in_products,Products,en_US
global.search.suggestion.in_categories,Kategorien,de_DE
global.search.suggestion.in_categories,Categories,en_US
global.search.suggestion.in_cms,Seiten,de_DE
global.search.suggestion.in_cms,Pages,en_US
global.search.suggestion.no_result,Nichts gefunden…,de_DE
global.search.suggestion.no_result,Nothing found…,en_US
global.search.suggestion.see_all_products,Alle Produkte anzeigen,de_DE
global.search.suggestion.see_all_products,See all products,en_US
global.spryker.shop,Spryker Shop,de_DE
global.spryker.shop,Spryker Shop,en_US
global.spryker.motto,Qualitäts-Technologie,de_DE
global.spryker.motto,technology with quality,en_US
global.payment_providers,Zahlungsanbieter,de_DE
global.payment_providers,Payment providers,en_US
global.shipment_providers,Lieferanbieter,de_DE
global.shipment_providers,Shipment providers,en_US
global.get_in_touch,Jetzt Kontakt aufnehmen,de_DE
global.get_in_touch,Get in touch,en_US
global.newsletter,Newsletter,de_DE
global.newsletter,Newsletter,en_US
global.categories,Kategorien,de_DE
global.categories,Categories,en_US
global.company,Unternehmen,de_DE
global.company,Company,en_US
global.social,Netzwerke,de_DE
global.social,Social Media,en_US
global.home,Startseite,de_DE
global.home,Home,en_US
global.email.address,E-Mail Adresse,de_DE
global.email.address,Email Address,en_US
global.password,Passwort,de_DE
global.password,Password,en_US
global.permission.failed,Diese Aktion ist nicht erlaubt,de_DE
global.permission.failed,This action is forbidden,en_US
global.recover.password,Passwort vergessen,de_DE
global.recover.password,Recover Password,en_US
global.accept.terms.and.conditions,Ich bestätige die AGB,de_DE
global.accept.terms.and.conditions,Accept Terms and Conditions,en_US
global.login,Anmelden,de_DE
global.login,Login,en_US
global.create.account,Account erstellen,de_DE
global.create.account,Create Account,en_US
global.cart,Warenkorb,de_DE
global.cart,Cart,en_US
global.no_image_available,Kein Bild verfügbar,de_DE
global.no_image_available,No image available,en_US
global.add-to-cart,In den Warenkorb,de_DE
global.add-to-cart,Add to Cart,en_US
global.benefit.free_returns,Kostenlose Rückgabe,de_DE
global.benefit.free_returns,Free Returns,en_US
global.benefit.warranty,3 Jahre Garantie,de_DE
global.benefit.warranty,3 Years Warranty,en_US
global.benefit.competitive_prices,Günstige Preise,de_DE
global.benefit.competitive_prices,Competitive Prices,en_US
global.quantity_symbol,x,en_US
global.quantity_symbol,x,de_DE
global.partners,Partners,en_US
global.partners,Partner,de_DE
error.404,Error 404,de_DE
error.404,Error 404,en_US
error_page.title,Seite nicht gefunden.,de_DE
error_page.title,Page not found.,en_US
error_page.home_link,Zur Startseite,de_DE
error_page.home_link,Go to Homepage,en_US
error_page.text,Wir konnten die von Ihnen gesuchte Seite nicht finden.,de_DE
error_page.text,We couldn't find the page you're looking for.,en_US
homepage.carousel.previous,Zurück,de_DE
homepage.carousel.previous,Previous,en_US
homepage.carousel.next,Vore,de_DE
homepage.carousel.next,Next,en_US
customer.signup,New customer?,en_US
customer.signup,Neuer Kunde?,de_DE
customer.signin,Signin,en_US
customer.signin,Einloggen,de_DE
customer.logout,Logout,en_US
customer.logout,Abmelden,de_DE
customer.register,Register,en_US
customer.register,Registrieren,de_DE
customer.login,Login,en_US
customer.login,Anmelden,de_DE
customer.login.email,Email,en_US
customer.login.email,E-Mail,de_DE
customer.login.password,Password,en_US
customer.login.password,Passwort,de_DE
customer.login.title,Access your account,en_US
customer.login.title,Ich bin bereits Kunde,de_DE
customer.registration.title,Create account,en_US
customer.registration.title,Ich bin Neukunde,de_DE
customer.account.no_order,No orders at the moment,en_US
customer.account.no_order,Keine Bestellungen,de_DE
customer.account,Customer Account,en_US
customer.account,Mein Konto,de_DE
customer.account.contact,Contact,en_US
customer.account.contact,Kontakt,de_DE
customer.account.overview,Overview,en_US
customer.account.overview,Übersicht,de_DE
customer.account.profile_data,Profile,en_US
customer.account.profile_data,Benutzerdaten,de_DE
customer.account.address,Addresses,en_US
customer.account.address,Adressen,de_DE
customer.account.order_history,Orders History,en_US
customer.account.order_history,Bestellungen,de_DE
customer.account.newsletter,Newsletter,en_US
customer.account.newsletter,Newsletter,de_DE
customer.account.last_orders,Last Orders,en_US
customer.account.last_orders,Letzte Bestellungen,de_DE
customer.account.default_billing_address,Default Billing Address,en_US
customer.account.default_billing_address,Standard Rechnungsadresse,de_DE
customer.account.please_specify_billing_address,Please Specify Billing Address,en_US
customer.account.please_specify_billing_address,Bitte deine Rechnungsadresse eintragen.,de_DE
customer.account.default_shipping_address,Default Shipping Address,en_US
customer.account.default_shipping_address,Standard Lieferadresse,de_DE
customer.account.please_specify_shipping_address,Please Specify Shipping Address,en_US
customer.account.please_specify_shipping_address,Bitten deine Lieferadresse eintragen.,de_DE
customer.account.edit_address_information,Edit Address Information,en_US
customer.account.edit_address_information,Ändern,de_DE
customer.account.additional_addresses,Additional Addresses,en_US
customer.account.additional_addresses,Zusätzliche Adressen,de_DE
customer.account.button.add_new_address,Add new address,en_US
customer.account.button.add_new_address,Neue adresse hinzufügen,de_DE
customer.account.add_new_address,Define new address,en_US
customer.account.add_new_address,Definieren Sie eine neue Adresse,de_DE
customer.account.deliver_to_multiple_addresses,Deliver to multiple addresses,en_US
customer.account.deliver_to_multiple_addresses,Deliver to multiple addresses,de_DE
customer.account.delete.error,Account cannot be removed,en_US
customer.account.delete.error,Das Konto kann nicht entfernt werden,de_DE
customer.newsletter.not_subscribed,No newsletter subscription,en_US
customer.newsletter.not_subscribed,Newsletter nicht abonniert.,de_DE
customer.profile.order_history,Last Orders,en_US
customer.profile.order_history,Letzte Bestellungen,de_DE
customer.account.no_orders,No orders at the moment,en_US
customer.account.no_orders,Keine Bestellungen,de_DE
customer.address.updated,Address was successfully updated,en_US
customer.address.updated,Adresse wurde erfolgreich aktualisiert,de_DE
customer.address.delete.success,Address deleted successfully,en_US
customer.address.delete.success,Adresse erfolgreich gelöscht,de_DE
customer.address.added,Address was successfully added,en_US
customer.address.added,Adresse wurde erfolgreich hinzugefügt,de_DE
customer.address.first_name,First Name,en_US
customer.address.first_name,Vorname,de_DE
customer.address.last_name,Last Name,en_US
customer.address.last_name,Nachname,de_DE
customer.address.company,Company,en_US
customer.address.company,Firma,de_DE
customer.address.address1,Street,en_US
customer.address.address1,Straße,de_DE
customer.address.address2,House Number,en_US
customer.address.address2,Hausnummer,de_DE
customer.address.address3,Additional address field,en_US
customer.address.address3,Adresszusatz,de_DE
customer.address.zip_code,Postcode,en_US
customer.address.zip_code,PLZ,de_DE
customer.address.city,City,en_US
customer.address.city,Stadt,de_DE
customer.address.country,Country,en_US
customer.address.country,Land,de_DE
customer.address.phone,Phone,en_US
customer.address.phone,Telefon,de_DE
customer.address.is_default_billing,Is default billing address,en_US
